player,date,elo_before,rolling_win_pct,last3_win_avg,surface_win_pct,rolling_ace_avg,rolling_minutes_avg,rolling_bp_save,current_elo,last5_1,last5_2,last5_3,last5_4,last5_5
Daniil Medvedev,2026-05-26,1816.5554594927994,0.6,0.6666666666666666,0.6,4.0,115.6,0.5409523809523809,1787.984810189669,0,0.0,1.0,1.0,1.0
Darian King,2025-09-12,1558.7674147552887,0.8333333333333334,1.0,1.0,2.25,89.75,0.6848484848484849,1538.6966763984797,0,1.0,1.0,1.0,1.0
Darwin Blanch,2026-03-21,1474.23448500015,0.3333333333333333,0.6666666666666666,0.4,7.166666666666667,95.16666666666667,0.6043771043771043,1468.816562448662,0,1.0,0.0,0.0,1.0
David Ekpenyong,2025-02-01,1500.0,,,,,,,1482.4871323977018,0,,,,
David Goffin,2025-10-20,1464.1273910094535,0.3,0.6666666666666666,0.3,6.1,105.9,0.40694444444444444,1449.8679526294902,0,0.0,1.0,1.0,0.0
David Jorda Sanchis,2024-04-01,1500.0,0.0,0.0,0.0,9.0,130.0,0.75,1500.7963384624084,0,1.0,,,
Davis Rolis,2024-09-14,1484.0,0.0,0.0,0.0,1.0,61.0,0.25,1468.736306793522,0,0.0,,,
Denis Kudla,2024-04-01,1485.1406937093923,0.3333333333333333,0.3333333333333333,0.5,4.0,108.0,0.40277777777777773,1472.8188084095293,0,0.0,0.0,1.0,
Denis Shapovalov,2026-05-26,1548.7981541337447,0.4,0.0,0.4,3.8,97.2,0.5083333333333333,1527.8444275443858,0,0.0,0.0,0.0,1.0
Denis Yevseyev,2025-02-01,1488.1321854002128,0.3333333333333333,0.3333333333333333,0.0,4.333333333333333,117.66666666666667,0.7148962148962149,1504.678505995844,1,0.0,0.0,1.0,
Dhakshineswar Suresh,2026-02-06,1502.6906205123385,0.5,0.5,0.5,4.5,80.0,0.7857142857142857,1535.6006196720075,1,1.0,1.0,0.0,
Diego Dedura,2026-05-18,1489.0474439043003,0.0,0.0,0.0,0.0,86.0,0.6666666666666666,1480.7401010655133,0,0.0,,,
Diego Dedura-Palomero,2025-05-19,1511.0525459811731,0.5,0.5,0.5,0.5,66.0,0.6875,1495.5172681971012,0,1.0,0.0,,
Diego Duran,2024-02-02,1500.0,,,,,,,1516.0,1,,,,
Diego Schwartzman,2025-02-10,1383.0548555445064,0.1111111111111111,0.3333333333333333,0.2,1.0,120.77777777777777,0.41164021164021164,1393.4957447254262,1,0.0,0.0,0.0,0.0
Dimitar Kuzmanov,2024-02-03,1500.0,,,,,,,1484.0,0,,,,
Dimitris Azoidis,2024-09-14,1500.0,,,,,,,1516.5571381628877,1,,,,
Dino Prizmic,2026-05-27,1581.4485507546087,0.7,0.6666666666666666,0.7,3.3,124.8,0.6185335497835498,1570.5187185713023,0,1.0,0.0,1.0,1.0
Dmitry Popko,2025-09-12,1450.7886238227527,0.0,0.0,0.0,1.6666666666666667,116.0,0.5349206349206349,1436.2302789430603,0,0.0,0.0,0.0,
Dominic Stricker,2025-07-14,1430.7498129754401,0.3,0.0,0.0,9.0,91.33333333333333,0.45370370370370366,1444.5095984054246,1,0.0,0.0,0.0,0.0
Dominic Thiem,2024-10-21,1413.5045123116379,0.2,0.0,0.25,5.2,129.1,0.4777505827505827,1399.6482816150356,0,0.0,0.0,0.0,0.0
